"sku","product_name","brand","category_l1","category_l2","sale_price_cad","cost_price_cad","inventory_qty","safety_stock","status","tax_class","weight_kg","lead_time_days","is_featured"
"ELE-0001","Wireless Mechanical Keyboard","NorthPeak Tech","Electronics","Computer Accessories","129.99","78.5","46","8","ACTIVE","STANDARD","0.92","7","True"
"ELE-0002","Ergonomic Wireless Mouse","AlderWave","Electronics","Computer Accessories","69.99","34.2","58","10","ACTIVE","STANDARD","0.28","6","True"
"ELE-0003","USB-C Docking Station","MapleGrid","Electronics","Office Connectivity","159.99","96.4","31","6","ACTIVE","STANDARD","0.44","8","False"
"ELE-0004","27 Inch Productivity Monitor","RidgeLine Digital","Electronics","Displays","329.99","218","24","5","ACTIVE","STANDARD","5.3","12","True"
"ELE-0005","Noise Cancelling Headphones","SnowArc","Electronics","Audio","249.99","151.2","33","6","ACTIVE","STANDARD","0.37","9","True"
"ELE-0006","Portable Bluetooth Speaker","NorthPeak Tech","Electronics","Audio","119.99","63.5","41","8","ACTIVE","STANDARD","0.66","7","False"
"ELE-0007","1TB Portable SSD","AlderWave","Electronics","Storage","189.99","122.8","37","7","ACTIVE","STANDARD","0.14","6","True"
"ELE-0008","65W GaN Charger","MapleGrid","Electronics","Power","54.99","22.3","74","12","ACTIVE","STANDARD","0.19","5","False"
"ELE-0009","Adjustable Laptop Stand","RidgeLine Digital","Electronics","Desk Setup","79.99","31.7","52","9","ACTIVE","STANDARD","1.1","6","False"
"ELE-0010","Full HD Web Camera","SnowArc","Electronics","Video Conferencing","89.99","45.9","39","8","ACTIVE","STANDARD","0.21","7","False"
"ELE-0011","Smart Desk Lamp","NorthPeak Tech","Electronics","Smart Home","99.99","49.8","28","6","ACTIVE","STANDARD","1.34","9","False"
"ELE-0012","Wi-Fi 6 Router","AlderWave","Electronics","Networking","179.99","108.3","26","5","ACTIVE","STANDARD","0.58","8","True"
"ELE-0013","USB Conference Microphone","MapleGrid","Electronics","Video Conferencing","109.99","57.2","21","5","ACTIVE","STANDARD","0.42","8","False"
"ELE-0014","HDMI Switch Hub","RidgeLine Digital","Electronics","Office Connectivity","49.99","19.1","63","10","ACTIVE","STANDARD","0.17","5","False"
"ELE-0015","Smart Plug Twin Pack","SnowArc","Electronics","Smart Home","39.99","14.4","88","12","ACTIVE","STANDARD","0.2","4","False"
"ELE-0016","4K Mini Projector","NorthPeak Tech","Electronics","Displays","379.99","246","12","4","ACTIVE","STANDARD","1.42","14","True"
"ELE-0017","Compact Barcode Scanner","AlderWave","Electronics","Retail Devices","139.99","81.2","19","4","ACTIVE","STANDARD","0.33","10","False"
"ELE-0018","Webcam Light Bar","MapleGrid","Electronics","Desk Setup","59.99","24.7","47","7","ACTIVE","STANDARD","0.39","6","False"
